,"Razão Social","Nome do Laboratório","Situação","Endereço","Bairro","CEP","Cidade","UF","Telefone","Fax","Grupo de Serviço de Calibração","Gerente tecnico","Email"
0,"FURNAS CENTRAIS ELÉTRICAS S.A - FURNAS","Gerência de Centro Técnico de Ensaios e Suporte à Manutenção - GES.O.","
										Ativo                                    ","
										RUA CARMO DO RIO CLARO, 80 ","
										FURNAS                                    ","
										37945000                                    ","
										SÃO JOSÉ DA BARRA                                    ","
										MG                                    ","
										(35) 3523-5818/5817/5886                                    ","
										(35) 3523-4409                                    ","ELETRICIDADE E MAGNETISMO","
										MARCELO ASSIS DE FARIA RIBEIRO
                                    ","mribeiro@furnas.com.br  "
1,"Centro de Pesquisas de Energia Elétrica - CEPEL","Departamento de Laboratórios de Adrianópolis - DLA","
										Ativo                                    ","
										Avenida Olínda, 5.800                                    ","
										Adrianópolis                                    ","
										26053121                                    ","
										Nova Iguaçu                                    ","
										RJ                                    ","
										(21) 2598-6062                                    ","
","ELETRICIDADE E MAGNETISMO","
										Alberto José Salomon Junqueira
                                    ","ajsj@cepel.br"
2,"Instituto de Energia e Ambiente da Universidade de São Paulo - IEE/USP","LABORATÓRIO DE METROLOGIA","
										Ativo                                    ","
										Avenida Professor Luciano Gualberto, 1.289                                    ","
										Cidade Universitária                                    ","
										05508010                                    ","
										São Paulo                                    ","
										SP                                    ","
										(11) 3091-2500/2612/2507                                    ","
										(11) 3815 2423                                    ","ELETRICIDADE E MAGNETISMO","
										Antonio Carlos de Silos 
                                    ","calibracao@iee.usp.br"
3,"Instituto Nacional de Pesquisas Espaciais - INPE","Laboratório de Integração e Testes - LIT","
										Ativo                                    ","
										Avenida dos Astronautas, 1.758                                    ","
										Jardim da Granja                                    ","
										12227010                                    ","
										São José dos Campos                                    ","
										SP                                    ","
										(12) 3208-6318                                    ","
										(12) 3941-1884                                    ","ELETRICIDADE E MAGNETISMO","
										Ricardo Suterio
                                    ","metrologia@lit.inpe.br"
4,"Pontifícia Universidade Católica do Rio Grande do Sul - PUC/RS","Laboratórios Especializados em Eletro-Eletrônica - Labelo","
										Ativo                                    ","
										AV. IPIRANGA, 6681- PRÉDIO 30 - BLOCO A - SALA 210                                    ","
										PARTENON                                    ","
										90619900                                    ","
										PORTO ALEGRE                                    ","
										RS                                    ","
										(51) 3320- 3551                                    ","
										(51) 3320-3901                                    ","ELETRICIDADE E MAGNETISMO","
										Rodrigo Leao Mianes
                                    ","labelo@pucrs.br"
5,"ECIL Produtos e Sistemas de Medição e Controle Ltda.","Laboratório de Metrologia ECIL","
										Ativo                                    ","
										RODOVIA RAIMUNDO ANTUNES SOARES, 1.315                                    ","
										PAULAS E MENDES                                    ","
										18170000                                    ","
										PIEDADE                                    ","
										SP                                    ","
										(15) 3244-8092 / 8038                                    ","
										(15) 3244-1672                                    ","ELETRICIDADE E MAGNETISMO","
										MOISÉS VIEIRA DE JESUS
                                    ","mvieira@ecil.com.br"
6,"SOCIEDADE EDUCACIONAL DE SANTA CATARINA - SOCIESC","UNISOCIESC LABORATÓRIO DE METROLOGIA","
										Suspensão Total  desde 18/04/2018                                    ","
										RUA ALBANO SCHMIDT, 3.333                                    ","
										BOA VISTA                                    ","
										89227700                                    ","
										JOINVILLE                                    ","
										SC                                    ","
										(47) 3461-0232                                    ","
										(47) 3461-0231                                    ","ELETRICIDADE E MAGNETISMO","
										Adriane Machado
                                    ","adrianem@sociesc.org.br"
7,"Arcelor Mittal Brasil S.A.","Laboratório de Calibração","
										Ativo                                    ","
										AV. BRIGADEIRO EDUARDO GOMES, 526 - PCE 147                                    ","
										Polo Industrial Tuba                                    ","
										29160904                                    ","
										SERRA                                    ","
										ES                                    ","
										(27) 3348-2313/2330/2314/2162                                    ","
										(27) 3348-2021                                    ","ELETRICIDADE E MAGNETISMO","
										Daniel Henrique Sousa
                                    ","daniel.sousa@arcelormittal.com.br"
8,"YOKOGAWA AMERICA DO SUL LTDA","LABORATÓRIO DE METROLOGIA YOKOGAWA","
										Ativo                                    ","
										PRAÇA ACAPULCO, 31                                    ","
										SANTO AMARO                                    ","
										04675190                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 5681-2459 / 1264                                    ","
										(11) 5681-2408                                    ","ELETRICIDADE E MAGNETISMO","
										Eric Hodama
                                    ","eric.hodama@br.yokogawa.com"
9,"Instituto de Pesquisas Tecnológicas do Estado de São Paulo - IPT","Laboratório de Metrologia Elétrica do Centro de Metrologia Mecânica, Elétrica e de Fluidos","
										Ativo                                    ","
										Av. Professor  Almeida Prado, 532                                    ","
										Cidade Universitária                                    ","
										05508901                                    ","
										SÃO PAULO                                    ","
										SP                                    ","
										(11) 3767-4948                                    ","
										(11) 3767-4007                                    ","ELETRICIDADE E MAGNETISMO","
										Rima Yehia
                                    ","lme@ipt.br"
